market,commodity,unit,record_count,mean_price,minimum_price,maximum_price
Kiryandongo (refugee settlement),Salt,KG,67,1424.313432835821,1000.0,2000.0
Iganga,Sorghum,KG,132,1405.2959090909092,602.0,2500.0
Arua,Maize (white),KG,11,1398.7272727272727,800.0,2186.0
Karita,Maize (white),KG,63,1391.436507936508,500.0,2500.0
Owino,Maize (white),KG,162,1389.683209876543,712.0,3000.0
Makaratin,Cassava flour,KG,59,1377.4293220338984,478.0,2333.0
Moroto,Sorghum,KG,47,1376.723404255319,867.0,2500.0
Jinja,Maize (white),KG,97,1356.5190721649485,584.0,2560.0
Mbale,Maize (white),KG,69,1352.980724637681,600.0,2480.0
Imvepi (refugee settlement),Wooden mingle,Unit,23,1350.304347826087,500.0,3000.0
Rwamwanja (refugee settlement),Rope,Unit,21,1346.2380952380952,1000.0,2750.0
Rwamwanja (refugee settlement),Milk (fresh),L,65,1337.2,1000.0,2000.0
Jinja,Cassava flour,KG,106,1332.2134905660378,264.0,3000.0
Imvepi (refugee settlement),Torch,Unit,22,1330.7272727272727,667.0,2500.0
Nabilatuk,Maize (white),KG,41,1323.219512195122,960.0,2000.0
Owino,Cassava flour,KG,246,1315.90418699187,416.67,3000.0
Arua,Cassava flour,KG,30,1304.8666666666666,1000.0,1800.0
Palabek (refugee settlement),Sorghum,KG,60,1302.475,630.0,2333.0
Busia,Maize (white),KG,45,1302.3295555555555,800.0,1960.0
Gulu,Maize (white),KG,170,1300.7510588235293,2.0,2000.0
Busia,Cassava flour,KG,45,1300.6666666666667,740.0,2500.0
Kaabong,Maize (white),KG,81,1292.29012345679,606.0,2521.5
Iganga,Cassava flour,KG,161,1291.2173913043478,400.0,2200.0
Tororo,Maize (white),KG,22,1289.605909090909,830.0,2150.0
Kiryandongo (refugee settlement),Charcoal,KG,55,1289.5054545454545,414.81,2460.0
Nakivale (refugee settlement),Maize (white),KG,67,1281.0597014925372,481.0,2400.0
Oruchinga (refugee settlement),Maize (white),KG,67,1269.4328358208954,500.0,2500.0
Napak,Sorghum,KG,39,1267.8974358974358,790.0,1757.0
Kiryandongo (refugee settlement),Maize (white),KG,67,1264.7313432835822,533.0,2333.0
Adjumani (refugee settlement),Rope,Unit,22,1260.0,500.0,2167.0
Soroti,Maize (white),KG,47,1254.8936170212767,412.5,2200.0
Gulu,Sorghum,KG,168,1253.5809523809523,400.0,3000.0
Makaratin,Maize (white),KG,58,1242.9741379310344,800.0,2338.0
Busia,Sorghum,KG,21,1241.6666666666667,775.0,1550.0
Kaabong,Sorghum,KG,79,1234.5943037974682,430.0,2495.0
Kiryandongo (refugee settlement),Wooden mingle,Unit,21,1234.452380952381,600.0,2254.0
Nakivale (refugee settlement),Charcoal,KG,54,1229.0475925925928,625.0,2103.0
Karenga,Maize (white),KG,40,1226.50625,750.0,2100.0
Kyaka II (refugee settlement),Maize (white),KG,67,1223.2437313432836,589.0,2100.0
Masaka,Maize (white),KG,45,1219.7037777777778,638.0,1825.0
Bidibidi (refugee settlement),Rope,Unit,21,1214.6190476190477,875.0,2000.0
Rwamwanja (refugee settlement),Wooden mingle,Unit,24,1208.375,1000.0,3146.0
Rwamwanja (refugee settlement),Maize (white),KG,67,1208.1620895522387,456.0,2200.0
Oruchinga (refugee settlement),Wooden mingle,Unit,22,1202.1818181818182,1000.0,2115.0
Kiboga,Cassava flour,KG,27,1192.3703703703704,950.0,1413.0
Namalu,Maize (white),KG,77,1183.645064935065,600.0,1950.0
Kyaka II (refugee settlement),Rope,Unit,19,1179.2631578947369,1000.0,2000.0
Rhino Camp (refugee settlement),Torch,Unit,17,1171.7058823529412,834.0,1833.0
Oruchinga (refugee settlement),Torch,Unit,21,1169.6666666666667,500.0,2000.0
Palabek (refugee settlement),Wooden mingle,Unit,21,1169.357142857143,712.5,2000.0
Adjumani (refugee settlement),Wooden mingle,Unit,23,1163.9421739130435,600.0,2416.67
Soroti,Sorghum,KG,47,1160.6838297872341,613.0,1700.0
Kotido,Maize (white),KG,38,1150.9342105263158,650.0,2400.0
Masindi,Maize (white),KG,51,1149.4313725490197,550.0,2000.0
Kyaka II (refugee settlement),Wooden mingle,Unit,24,1137.625,1000.0,2219.0
Karita,Sorghum,KG,21,1134.73,500.0,2750.0
Oruchinga (refugee settlement),Charcoal,KG,53,1134.693962264151,600.0,2500.0
Kapchorwa,Maize (white),KG,129,1130.3552713178294,500.0,2325.0
Nakivale (refugee settlement),Wooden mingle,Unit,21,1129.642857142857,712.5,2233.0
Kyangwali (refugee settlement),Maize (white),KG,67,1124.6168656716418,456.0,2000.0
Owino,Plantains,KG,222,1117.2706306306306,206.25,6055.67
Kyaka II (refugee settlement),Charcoal,KG,55,1106.1072727272729,667.0,2222.0
Nabilatuk,Sorghum,KG,41,1099.8048780487804,695.0,1700.0
Rhino Camp (refugee settlement),Rope,Unit,16,1098.125,256.0,3000.0
Bidibidi (refugee settlement),Torch,Unit,18,1096.3333333333333,625.0,2000.0
Kyangwali (refugee settlement),Torch,Unit,24,1092.0833333333333,1000.0,2000.0
Kyaka II (refugee settlement),Mug (plastic),Unit,24,1075.5,538.0,3250.0
Makaratin,Sorghum,KG,74,1075.2297297297298,527.0,2325.0
Karenga,Sorghum,KG,40,1066.384,836.36,1763.0
Palabek (refugee settlement),Plate (plastic),Unit,21,1064.1942857142858,917.0,2000.0
Nakivale (refugee settlement),Torch,Unit,21,1063.3809523809523,500.0,2000.0
Oruchinga (refugee settlement),Plate (plastic),Unit,21,1057.1904761904761,817.0,1500.0
Iganga,Maize (white),KG,154,1056.6740259740259,475.0,2175.0
Namalu,Sorghum,KG,77,1053.868051948052,667.0,1700.0
Lira,Plantains,KG,168,1048.1497619047618,570.0,1912.5
Adjumani (refugee settlement),Mug (plastic),Unit,23,1044.9995652173914,808.33,2000.0
